importer,year,reason
BDI,2015,"Genuine: reporter TOTAL from VNM falls USD 21.0m (2015) -> 5.2m (2016) -> 2.1m (2017)"
BGR,2009,"Genuine: reporter TOTAL 69.7m -> 37.5m -> 26.7m; VN mirror agrees (41.3m -> 36.9m -> 26.8m)"
BRB,2019,"Genuine: reporter TOTAL 4.4m -> 0.4m (2020) -> 0.3m (2021)"
CMR,2008,"Genuine churn: HS6 lines 143 -> 82 while TOTAL rises 58.7m -> 66.8m (concentration into fewer products); full HS6 coverage both years"
COG,2015,"Genuine: TOTAL 4.8m -> 11.9m (one-off 2016) -> 1.3m (2017), HS6 lines 174 -> 28"
DMA,2019,"Genuine: 2019 is a one-off spike (TOTAL 1.6m -> 7.6m -> 0.1m)"
GTM,2005,"Genuine: 2005 is a one-off spike (TOTAL 0.4m -> 3.1m -> 2.2m, lines 25 -> 123 -> 36)"
GTM,2009,"Genuine: 2009 is a one-off spike (TOTAL 4.9m -> 20.2m -> 13.3m, lines 97 -> 297 -> 111)"
MDG,2008,"Genuine: TOTAL 15.6m -> 8.6m -> 4.3m (2009 political crisis); VN mirror agrees"
MLI,2016,"Genuine: TOTAL 6.5m -> 3.7m -> 1.6m"
NGA,2008,"Reporter-consistent: TOTAL 45.0m -> 35.6m -> 19.0m; VN mirror disagrees (rising), kept because the panel is built on importer filings"
NGA,2009,"Reporter-consistent: TOTAL 35.6m -> 19.0m; VN mirror disagrees, kept as for 2008"
PYF,2022,"Genuine: 2022 is a one-off spike (TOTAL 27.4m -> 8.7m -> 11.1m, Comtrade queried 19/09/2026)"
SYC,2022,"Genuine: 2022 is a one-off spike (TOTAL 2.9m -> 1.3m -> 2.2m, Comtrade queried 19/09/2026)"
TZA,2015,"Genuine: 2015 is a one-off spike (TOTAL 11.5m -> 94.3m -> 19.1m)"
UGA,2015,"Genuine churn: TOTAL rises 22.0m -> 29.3m, same revision (H4), full HS6 coverage; product mix turns over"
