label,http,rows,sample_value,csv,url
trade/XPRT-TRD-VL,200,24,732954,/home/minhquang/wits/probe_out/trade_XPRT-TRD-VL.csv,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-trade/reporter/vnm/year/ALL/partner/usa/product/Total/indicator/XPRT-TRD-VL
trade/MPRT-TRD-VL,200,24,363886,/home/minhquang/wits/probe_out/trade_MPRT-TRD-VL.csv,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-trade/reporter/vnm/year/ALL/partner/usa/product/Total/indicator/MPRT-TRD-VL
trade/RCA,200,24,0.96,/home/minhquang/wits/probe_out/trade_RCA.csv,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-trade/reporter/vnm/year/ALL/partner/usa/product/50-63_TextCloth/indicator/RCA
trade/XPRT-PRDCT-SHR,200,24,6.8515,/home/minhquang/wits/probe_out/trade_XPRT-PRDCT-SHR.csv,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-trade/reporter/vnm/year/ALL/partner/usa/product/50-63_TextCloth/indicator/XPRT-PRDCT-SHR
trade/XPRT-PRTNR-SHR,200,24,5.0609,/home/minhquang/wits/probe_out/trade_XPRT-PRTNR-SHR.csv,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-trade/reporter/vnm/year/ALL/partner/usa/product/999999/indicator/XPRT-PRTNR-SHR
trade/CNTRY-GRWTH,200,24,9.47748644965043,/home/minhquang/wits/probe_out/trade_CNTRY-GRWTH.csv,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-trade/reporter/vnm/year/ALL/partner/usa/product/50-63_TextCloth/indicator/CNTRY-GRWTH
trade/WRLD-GRWTH,200,24,3.80278821510713,/home/minhquang/wits/probe_out/trade_WRLD-GRWTH.csv,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-trade/reporter/vnm/year/ALL/partner/usa/product/50-63_TextCloth/indicator/WRLD-GRWTH
trade/HH-MKT-CNCNTRTN-NDX,200,24,0.065609072822808,/home/minhquang/wits/probe_out/trade_HH-MKT-CNCNTRTN-NDX.csv,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-trade/reporter/vnm/year/ALL/partner/999/product/999999/indicator/HH-MKT-CNCNTRTN-NDX
trade/NDX-XPRT-MKT-PNRTTN,200,24,5.57195624006303,/home/minhquang/wits/probe_out/trade_NDX-XPRT-MKT-PNRTTN.csv,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-trade/reporter/vnm/year/ALL/partner/999/product/999999/indicator/NDX-XPRT-MKT-PNRTTN
trade/NMBR-XPRT-HS6-PRDCT,200,24,131,/home/minhquang/wits/probe_out/trade_NMBR-XPRT-HS6-PRDCT.csv,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-trade/reporter/vnm/year/ALL/partner/usa/product/999999/indicator/NMBR-XPRT-HS6-PRDCT
trade/NMBR-XPRT-PRTNR,200,24,182,/home/minhquang/wits/probe_out/trade_NMBR-XPRT-PRTNR.csv,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-trade/reporter/vnm/year/ALL/partner/999/product/999999/indicator/NMBR-XPRT-PRTNR
trade/NMBR-PRDCT-XPRTD,200,24,1141,/home/minhquang/wits/probe_out/trade_NMBR-PRDCT-XPRTD.csv,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-trade/reporter/vnm/year/ALL/partner/999/product/999999/indicator/NMBR-PRDCT-XPRTD
dev/NY-GDP-MKTP-KD-ZG,200,36,5.1350116716,/home/minhquang/wits/probe_out/dev_NY-GDP-MKTP-KD-ZG.csv,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-development/reporter/vnm/year/ALL/indicator/NY-GDP-MKTP-KD-ZG
