iso3,year,tariff_reporter
AUT,2002,EUN
AUT,2003,EUN
AUT,2004,EUN
AUT,2005,EUN
AUT,2006,EUN
AUT,2007,EUN
AUT,2008,EUN
AUT,2009,EUN
AUT,2010,EUN
AUT,2011,EUN
AUT,2012,EUN
AUT,2013,EUN
AUT,2014,EUN
AUT,2015,EUN
AUT,2016,EUN
AUT,2017,EUN
AUT,2018,EUN
AUT,2019,EUN
AUT,2020,EUN
AUT,2021,EUN
BEL,2002,EUN
BEL,2003,EUN
BEL,2004,EUN
BEL,2005,EUN
BEL,2006,EUN
BEL,2007,EUN
BEL,2008,EUN
BEL,2009,EUN
BEL,2010,EUN
BEL,2011,EUN
BEL,2012,EUN
BEL,2013,EUN
BEL,2014,EUN
BEL,2015,EUN
BEL,2016,EUN
BEL,2017,EUN
BEL,2018,EUN
BEL,2019,EUN
BEL,2020,EUN
BEL,2021,EUN
BGR,2002,BGR
BGR,2003,BGR
BGR,2004,BGR
BGR,2005,BGR
BGR,2006,BGR
BGR,2007,EUN
BGR,2008,EUN
BGR,2009,EUN
BGR,2010,EUN
BGR,2011,EUN
BGR,2012,EUN
BGR,2013,EUN
BGR,2014,EUN
BGR,2015,EUN
BGR,2016,EUN
BGR,2017,EUN
BGR,2018,EUN
BGR,2019,EUN
BGR,2020,EUN
BGR,2021,EUN
CYP,2002,CYP
CYP,2003,CYP
CYP,2004,EUN
CYP,2005,EUN
CYP,2006,EUN
CYP,2007,EUN
CYP,2008,EUN
CYP,2009,EUN
CYP,2010,EUN
CYP,2011,EUN
CYP,2012,EUN
CYP,2013,EUN
CYP,2014,EUN
CYP,2015,EUN
CYP,2016,EUN
CYP,2017,EUN
CYP,2018,EUN
CYP,2019,EUN
CYP,2020,EUN
CYP,2021,EUN
CZE,2002,CZE
CZE,2003,CZE
CZE,2004,EUN
CZE,2005,EUN
CZE,2006,EUN
CZE,2007,EUN
CZE,2008,EUN
CZE,2009,EUN
CZE,2010,EUN
CZE,2011,EUN
CZE,2012,EUN
CZE,2013,EUN
CZE,2014,EUN
CZE,2015,EUN
CZE,2016,EUN
CZE,2017,EUN
CZE,2018,EUN
CZE,2019,EUN
CZE,2020,EUN
CZE,2021,EUN
DEU,2002,EUN
DEU,2003,EUN
DEU,2004,EUN
DEU,2005,EUN
DEU,2006,EUN
DEU,2007,EUN
DEU,2008,EUN
DEU,2009,EUN
DEU,2010,EUN
DEU,2011,EUN
DEU,2012,EUN
DEU,2013,EUN
DEU,2014,EUN
DEU,2015,EUN
DEU,2016,EUN
DEU,2017,EUN
DEU,2018,EUN
DEU,2019,EUN
DEU,2020,EUN
DEU,2021,EUN
DNK,2002,EUN
DNK,2003,EUN
DNK,2004,EUN
DNK,2005,EUN
DNK,2006,EUN
DNK,2007,EUN
DNK,2008,EUN
DNK,2009,EUN
DNK,2010,EUN
DNK,2011,EUN
DNK,2012,EUN
DNK,2013,EUN
DNK,2014,EUN
DNK,2015,EUN
DNK,2016,EUN
DNK,2017,EUN
DNK,2018,EUN
DNK,2019,EUN
DNK,2020,EUN
DNK,2021,EUN
ESP,2002,EUN
ESP,2003,EUN
ESP,2004,EUN
ESP,2005,EUN
ESP,2006,EUN
ESP,2007,EUN
ESP,2008,EUN
ESP,2009,EUN
ESP,2010,EUN
ESP,2011,EUN
ESP,2012,EUN
ESP,2013,EUN
ESP,2014,EUN
ESP,2015,EUN
ESP,2016,EUN
ESP,2017,EUN
ESP,2018,EUN
ESP,2019,EUN
ESP,2020,EUN
ESP,2021,EUN
EST,2002,EST
EST,2003,EST
EST,2004,EUN
EST,2005,EUN
EST,2006,EUN
EST,2007,EUN
EST,2008,EUN
EST,2009,EUN
EST,2010,EUN
EST,2011,EUN
EST,2012,EUN
EST,2013,EUN
EST,2014,EUN
EST,2015,EUN
EST,2016,EUN
EST,2017,EUN
EST,2018,EUN
EST,2019,EUN
EST,2020,EUN
EST,2021,EUN
FIN,2002,EUN
FIN,2003,EUN
FIN,2004,EUN
FIN,2005,EUN
FIN,2006,EUN
FIN,2007,EUN
FIN,2008,EUN
FIN,2009,EUN
FIN,2010,EUN
FIN,2011,EUN
FIN,2012,EUN
FIN,2013,EUN
FIN,2014,EUN
FIN,2015,EUN
FIN,2016,EUN
FIN,2017,EUN
FIN,2018,EUN
FIN,2019,EUN
FIN,2020,EUN
FIN,2021,EUN
FRA,2002,EUN
FRA,2003,EUN
FRA,2004,EUN
FRA,2005,EUN
FRA,2006,EUN
FRA,2007,EUN
FRA,2008,EUN
FRA,2009,EUN
FRA,2010,EUN
FRA,2011,EUN
FRA,2012,EUN
FRA,2013,EUN
FRA,2014,EUN
FRA,2015,EUN
FRA,2016,EUN
FRA,2017,EUN
FRA,2018,EUN
FRA,2019,EUN
FRA,2020,EUN
FRA,2021,EUN
GBR,2002,EUN
GBR,2003,EUN
GBR,2004,EUN
GBR,2005,EUN
GBR,2006,EUN
GBR,2007,EUN
GBR,2008,EUN
GBR,2009,EUN
GBR,2010,EUN
GBR,2011,EUN
GBR,2012,EUN
GBR,2013,EUN
GBR,2014,EUN
GBR,2015,EUN
GBR,2016,EUN
GBR,2017,EUN
GBR,2018,EUN
GBR,2019,EUN
GBR,2020,EUN
GBR,2021,GBR
GRC,2002,EUN
GRC,2003,EUN
GRC,2004,EUN
GRC,2005,EUN
GRC,2006,EUN
GRC,2007,EUN
GRC,2008,EUN
GRC,2009,EUN
GRC,2010,EUN
GRC,2011,EUN
GRC,2012,EUN
GRC,2013,EUN
GRC,2014,EUN
GRC,2015,EUN
GRC,2016,EUN
GRC,2017,EUN
GRC,2018,EUN
GRC,2019,EUN
GRC,2020,EUN
GRC,2021,EUN
HRV,2002,HRV
HRV,2003,HRV
HRV,2004,HRV
HRV,2005,HRV
HRV,2006,HRV
HRV,2007,HRV
HRV,2008,HRV
HRV,2009,HRV
HRV,2010,HRV
HRV,2011,HRV
HRV,2012,HRV
HRV,2013,EUN
HRV,2014,EUN
HRV,2015,EUN
HRV,2016,EUN
HRV,2017,EUN
HRV,2018,EUN
HRV,2019,EUN
HRV,2020,EUN
HRV,2021,EUN
HUN,2002,HUN
HUN,2003,HUN
HUN,2004,EUN
HUN,2005,EUN
HUN,2006,EUN
HUN,2007,EUN
HUN,2008,EUN
HUN,2009,EUN
HUN,2010,EUN
HUN,2011,EUN
HUN,2012,EUN
HUN,2013,EUN
HUN,2014,EUN
HUN,2015,EUN
HUN,2016,EUN
HUN,2017,EUN
HUN,2018,EUN
HUN,2019,EUN
HUN,2020,EUN
HUN,2021,EUN
IRL,2002,EUN
IRL,2003,EUN
IRL,2004,EUN
IRL,2005,EUN
IRL,2006,EUN
IRL,2007,EUN
IRL,2008,EUN
IRL,2009,EUN
