importer,year,hs6_lines,hs6_value_usd,total_value_usd,coverage,reason
ALB,2014,7,4593098.0,9877097.0,0.465,HS6 lines cover < 50% of the reporter's TOTAL imports from VNM
ALB,2019,21,8241045.01,18815301.72,0.438,HS6 lines cover < 50% of the reporter's TOTAL imports from VNM
ALB,2021,31,11566876.07,24675107.75,0.4688,HS6 lines cover < 50% of the reporter's TOTAL imports from VNM
BLZ,2011,10,1017474.62,2599742.19,0.3914,HS6 lines cover < 50% of the reporter's TOTAL imports from VNM
BLZ,2012,7,259118.0,3221269.0,0.0804,HS6 lines cover < 50% of the reporter's TOTAL imports from VNM
BLZ,2013,15,598318.0,6031812.0,0.0992,HS6 lines cover < 50% of the reporter's TOTAL imports from VNM
KWT,2002,171,3960922.0,8103408.0,0.4888,HS6 lines cover < 50% of the reporter's TOTAL imports from VNM
KWT,2003,172,4474325.0,9959752.0,0.4492,HS6 lines cover < 50% of the reporter's TOTAL imports from VNM
KWT,2004,217,6685858.0,14959156.0,0.4469,HS6 lines cover < 50% of the reporter's TOTAL imports from VNM
MAC,2003,84,872451.6,2009331.72,0.4342,HS6 lines cover < 50% of the reporter's TOTAL imports from VNM
SLB,2014,26,297964.78,1016189.01,0.2932,HS6 lines cover < 50% of the reporter's TOTAL imports from VNM
SLV,2020,525,47281112.45,99591555.09,0.4748,HS6 lines cover < 50% of the reporter's TOTAL imports from VNM
SLV,2021,618,65668612.44,155477447.14,0.4224,HS6 lines cover < 50% of the reporter's TOTAL imports from VNM
