iso3,name,income_group,region,comtrade_years,tariff_years,vn_trade_years,vn_mirror_years,vn_imports_latest_year,vn_imports_latest_usd,vn_imports_mean_usd,avg_records_per_year,tier,reason
USA,United States,High income,North America,20,20,20,20,2021,108195516670,31278681370,864641,A,"full: 20 filing years, tariff and VN trade throughout"
CHN,China,Upper middle income,East Asia & Pacific,20,18,20,20,2021,92276691178,25486590264,1009756,A,"full: 20 filing years, tariff and VN trade throughout"
JPN,Japan,High income,East Asia & Pacific,20,20,20,20,2021,23001580866,12226697176,294827,A,"full: 20 filing years, tariff and VN trade throughout"
KOR,"Korea, Rep.",High income,East Asia & Pacific,20,19,20,20,2021,23965706578,8105312814,337301,A,"full: 20 filing years, tariff and VN trade throughout"
DEU,Germany,High income,Europe & Central Asia,20,20,20,20,2021,12532523028,6310941385,9966041,A,"full: 20 filing years, tariff and VN trade throughout"
HKG,"Hong Kong SAR, China",High income,East Asia & Pacific,20,20,20,20,2021,15138766314,4763852755,424070,A,"full: 20 filing years, tariff and VN trade throughout"
AUS,Australia,High income,East Asia & Pacific,20,20,20,20,2021,5373412354,3461690101,362312,A,"full: 20 filing years, tariff and VN trade throughout"
GBR,United Kingdom,High income,Europe & Central Asia,20,20,20,20,2021,6282687294,3455456650,1787754,A,"full: 20 filing years, tariff and VN trade throughout"
FRA,France,High income,Europe & Central Asia,20,20,20,20,2021,6616440289,3376621226,2076684,A,"full: 20 filing years, tariff and VN trade throughout"
MYS,Malaysia,Upper middle income,East Asia & Pacific,20,16,20,20,2021,5735376760,3300880624,323964,A,"full: 20 filing years, tariff and VN trade throughout"
NLD,Netherlands,High income,Europe & Central Asia,20,20,20,20,2021,7300802782,2902002248,550781,A,"full: 20 filing years, tariff and VN trade throughout"
ARE,United Arab Emirates,High income,"Middle East, North Africa, Afghanistan & Pakistan",20,17,20,20,2021,7601250376,2579223142,434473,A,"full: 20 filing years, tariff and VN trade throughout"
SGP,Singapore,High income,East Asia & Pacific,20,20,20,20,2021,4380530905,2547723999,310177,A,"full: 20 filing years, tariff and VN trade throughout"
IND,India,Lower middle income,South Asia,20,19,20,20,2021,7075314753,2436419001,433454,A,"full: 20 filing years, tariff and VN trade throughout"
MEX,Mexico,Upper middle income,Latin America & Caribbean ,20,17,20,20,2021,8608257391,2365929320,347276,A,"full: 20 filing years, tariff and VN trade throughout"
CAN,Canada,High income,North America,20,20,20,20,2021,7846669534,2365360336,2236999,A,"full: 20 filing years, tariff and VN trade throughout"
IDN,Indonesia,Upper middle income,East Asia & Pacific,20,18,20,20,2021,4213236813,2080388045,254034,A,"full: 20 filing years, tariff and VN trade throughout"
ITA,Italy,High income,Europe & Central Asia,20,20,20,20,2021,4168785608,2000342663,1031126,A,"full: 20 filing years, tariff and VN trade throughout"
ESP,Spain,High income,Europe & Central Asia,20,20,20,20,2021,3316050107,1943215644,16481653,A,"full: 20 filing years, tariff and VN trade throughout"
RUS,Russian Federation,High income,Europe & Central Asia,20,17,20,20,2021,4893324139,1859971490,351403,A,"full: 20 filing years, tariff and VN trade throughout"
SVK,Slovak Republic,High income,Europe & Central Asia,20,19,20,20,2021,4766110301,1758669496,2233046,A,"full: 20 filing years, tariff and VN trade throughout"
PHL,Philippines,Upper middle income,East Asia & Pacific,20,19,20,20,2021,4469488399,1680152232,134685,A,"full: 20 filing years, tariff and VN trade throughout"
POL,Poland,High income,Europe & Central Asia,20,20,20,20,2021,4073704390,1248688003,358169,A,"full: 20 filing years, tariff and VN trade throughout"
BRA,Brazil,Upper middle income,Latin America & Caribbean ,20,20,20,20,2021,3015690259,1103886548,688065,A,"full: 20 filing years, tariff and VN trade throughout"
TUR,Turkiye,Upper middle income,Europe & Central Asia,20,18,20,20,2021,1573070829,1061858706,6812879,A,"full: 20 filing years, tariff and VN trade throughout"
SAU,Saudi Arabia,High income,"Middle East, North Africa, Afghanistan & Pakistan",20,15,20,20,2021,1434538954,984472149,145956,A,"full: 20 filing years, tariff and VN trade throughout"
BEL,Belgium,High income,Europe & Central Asia,20,20,20,20,2021,837326666,676651177,460312,A,"full: 20 filing years, tariff and VN trade throughout"
SWE,Sweden,High income,Europe & Central Asia,20,20,20,20,2021,1540651420,660833954,1159532,A,"full: 20 filing years, tariff and VN trade throughout"
AUT,Austria,High income,Europe & Central Asia,20,20,20,20,2021,1426214789,584218055,403260,A,"full: 20 filing years, tariff and VN trade throughout"
ZAF,South Africa,Upper middle income,Sub-Saharan Africa ,20,20,20,20,2021,1062936091,576095699,1864490,A,"full: 20 filing years, tariff and VN trade throughout"
CZE,Czechia,High income,Europe & Central Asia,20,20,20,19,2021,1988784178,554029520,968016,A,"full: 20 filing years, tariff and VN trade throughout"
CHL,Chile,High income,Latin America & Caribbean ,20,19,20,20,2021,1321366687,374087351,166499,A,"full: 20 filing years, tariff and VN trade throughout"
NOR,Norway,High income,Europe & Central Asia,20,20,20,20,2021,962063496,354081212,695174,A,"full: 20 filing years, tariff and VN trade throughout"
NZL,New Zealand,High income,East Asia & Pacific,20,19,20,20,2021,913608316,319701944,485778,A,"full: 20 filing years, tariff and VN trade throughout"
EGY,"Egypt, Arab Rep.",Lower middle income,"Middle East, North Africa, Afghanistan & Pakistan",20,18,20,20,2021,954439237,295222157,127040,A,"full: 20 filing years, tariff and VN trade throughout"
ARG,Argentina,Upper middle income,Latin America & Caribbean ,20,20,20,20,2021,1184385823,284936668,271792,A,"full: 20 filing years, tariff and VN trade throughout"
COL,Colombia,Upper middle income,Latin America & Caribbean ,20,20,20,20,2021,916167593,284094246,535647,A,"full: 20 filing years, tariff and VN trade throughout"
ISR,Israel,High income,"Middle East, North Africa, Afghanistan & Pakistan",20,16,20,20,2021,337469000,281732300,162548,A,"full: 20 filing years, tariff and VN trade throughout"
DNK,Denmark,High income,Europe & Central Asia,20,20,20,20,2021,469871577,268476962,340990,A,"full: 20 filing years, tariff and VN trade throughout"
UKR,Ukraine,Upper middle income,Europe & Central Asia,20,17,20,20,2021,565199458,232698526,434517,A,"full: 20 filing years, tariff and VN trade throughout"
PER,Peru,Upper middle income,Latin America & Caribbean ,20,18,20,20,2021,838744409,213276843,697093,A,"full: 20 filing years, tariff and VN trade throughout"
HUN,Hungary,High income,Europe & Central Asia,20,19,20,20,2021,973443772,202456552,549319,A,"full: 20 filing years, tariff and VN trade throughout"
FIN,Finland,High income,Europe & Central Asia,20,20,20,20,2021,643333221,198456125,707757,A,"full: 20 filing years, tariff and VN trade throughout"
PAN,Panama,High income,Latin America & Caribbean ,20,15,20,20,2021,48041203,195863460,165615,A,"full: 20 filing years, tariff and VN trade throughout"
PRT,Portugal,High income,Europe & Central Asia,20,20,20,20,2021,530608260,186889196,1556602,A,"full: 20 filing years, tariff and VN trade throughout"
IRL,Ireland,High income,Europe & Central Asia,20,20,20,20,2021,776236984,170296700,192392,A,"full: 20 filing years, tariff and VN trade throughout"
QAT,Qatar,High income,"Middle East, North Africa, Afghanistan & Pakistan",20,20,18,20,2021,229677206,152999881,76444,A,"full: 20 filing years, tariff and VN trade throughout"
GRC,Greece,High income,Europe & Central Asia,20,20,20,20,2021,293128394,148005607,296031,A,"full: 20 filing years, tariff and VN trade throughout"
CIV,Cote d'Ivoire,Lower middle income,Sub-Saharan Africa ,20,20,20,20,2021,294933884,144407649,150056,A,"full: 20 filing years, tariff and VN trade throughout"
MAR,Morocco,Lower middle income,"Middle East, North Africa, Afghanistan & Pakistan",20,17,20,20,2021,333893046,126762726,129794,A,"full: 20 filing years, tariff and VN trade throughout"
ROU,Romania,High income,Europe & Central Asia,20,15,20,20,2021,227251257,99538710,509228,A,"full: 20 filing years, tariff and VN trade throughout"
SVN,Slovenia,High income,Europe & Central Asia,20,20,20,20,2021,312112454,87716477,1261069,A,"full: 20 filing years, tariff and VN trade throughout"
JOR,Jordan,Upper middle income,"Middle East, North Africa, Afghanistan & Pakistan",20,17,20,16,2021,200482845,86940627,104608,A,"full: 20 filing years, tariff and VN trade throughout"
ECU,Ecuador,Upper middle income,Latin America & Caribbean ,20,19,20,20,2021,232193334,76491327,519801,A,"full: 20 filing years, tariff and VN trade throughout"
LVA,Latvia,High income,Europe & Central Asia,20,18,20,20,2021,212195341,73012435,889401,A,"full: 20 filing years, tariff and VN trade throughout"
BHR,Bahrain,High income,"Middle East, North Africa, Afghanistan & Pakistan",20,20,20,16,2021,93088936,63995658,111965,A,"full: 20 filing years, tariff and VN trade throughout"
LUX,Luxembourg,High income,Europe & Central Asia,20,20,20,19,2021,225425663,63801269,1179936,A,"full: 20 filing years, tariff and VN trade throughout"
GTM,Guatemala,Upper middle income,Latin America & Caribbean ,20,16,20,16,2021,399048398,54684854,112365,A,"full: 20 filing years, tariff and VN trade throughout"
BGR,Bulgaria,High income,Europe & Central Asia,20,20,20,20,2021,115446112,50076134,617045,A,"full: 20 filing years, tariff and VN trade throughout"
MOZ,Mozambique,Low income,Sub-Saharan Africa ,20,15,20,20,2021,71198683,48445361,325446,A,"full: 20 filing years, tariff and VN trade throughout"
MUS,Mauritius,Upper middle income,Sub-Saharan Africa ,20,19,20,12,2021,53356240,44294256,175982,A,"full: 20 filing years, tariff and VN trade throughout"
CRI,Costa Rica,High income,Latin America & Caribbean ,20,18,20,20,2021,179368099,43129305,126081,A,"full: 20 filing years, tariff and VN trade throughout"
EST,Estonia,High income,Europe & Central Asia,20,20,20,20,2021,114136203,40166344,2371062,A,"full: 20 filing years, tariff and VN trade throughout"
BLR,Belarus,Upper middle income,Europe & Central Asia,20,15,20,20,2021,106001200,39069335,203500,A,"full: 20 filing years, tariff and VN trade throughout"
DOM,Dominican Republic,Upper middle income,Latin America & Caribbean ,20,17,20,19,2021,88050938,38815854,1057801,A,"full: 20 filing years, tariff and VN trade throughout"
SEN,Senegal,Lower middle income,Sub-Saharan Africa ,20,20,20,20,2021,12511201,36057238,78261,A,"full: 20 filing years, tariff and VN trade throughout"
SLV,El Salvador,Upper middle income,Latin America & Caribbean ,20,19,20,14,2021,155477447,35771772,88972,A,"full: 20 filing years, tariff and VN trade throughout"
HRV,Croatia,High income,Europe & Central Asia,20,20,20,20,2021,33383265,35208780,170936,A,"full: 20 filing years, tariff and VN trade throughout"
OMN,Oman,High income,"Middle East, North Africa, Afghanistan & Pakistan",20,18,20,16,2021,37961974,31885399,99810,A,"full: 20 filing years, tariff and VN trade throughout"
MAC,"Macao SAR, China",High income,East Asia & Pacific,20,20,20,12,2021,82288861,29991857,100069,A,"full: 20 filing years, tariff and VN trade throughout"
PRY,Paraguay,Upper middle income,Latin America & Caribbean ,20,20,20,20,2021,126096635,27721121,170544,A,"full: 20 filing years, tariff and VN trade throughout"
URY,Uruguay,High income,Latin America & Caribbean ,20,19,20,20,2021,81191935,27634833,174488,A,"full: 20 filing years, tariff and VN trade throughout"
MKD,North Macedonia,Upper middle income,Europe & Central Asia,20,19,20,7,2021,63056314,23219363,198408,A,"full: 20 filing years, tariff and VN trade throughout"
CYP,Cyprus,High income,Europe & Central Asia,20,19,20,20,2021,43192886,22262551,896953,A,"full: 20 filing years, tariff and VN trade throughout"
LTU,Lithuania,High income,Europe & Central Asia,20,20,20,20,2021,67314656,21546825,183250,A,"full: 20 filing years, tariff and VN trade throughout"
