iso3,name,income_group,region,comtrade_years,tariff_years,avg_records_per_year,merch_exports_usd
USA,United States,High income,North America,20,20,864641,2018059000000
CHN,China,Upper middle income,East Asia & Pacific,20,18,1009756,3379044000000
IND,India,Lower middle income,South Asia,20,19,433454,431559000000
MOZ,Mozambique,Low income,Sub-Saharan Africa ,20,15,325446,8276000000
DEU,Germany,High income,Europe & Central Asia,20,20,9966041,1702278000000
MEX,Mexico,Upper middle income,Latin America & Caribbean ,20,17,347276,593001000000
EGY,"Egypt, Arab Rep.",Lower middle income,"Middle East, North Africa, Afghanistan & Pakistan",20,18,127040,42081000000
UGA,Uganda,Low income,Sub-Saharan Africa ,20,19,152471,6305000000
NLD,Netherlands,High income,Europe & Central Asia,20,20,550781,935047000000
VNM,Viet Nam,Upper middle income,East Asia & Pacific,20,19,172066,353782000000
MAR,Morocco,Lower middle income,"Middle East, North Africa, Afghanistan & Pakistan",20,17,129794,41642000000
BFA,Burkina Faso,Low income,Sub-Saharan Africa ,20,20,37620,4467000000
JPN,Japan,High income,East Asia & Pacific,20,20,294827,717256000000
BRA,Brazil,Upper middle income,Latin America & Caribbean ,20,20,688065,339696000000
CIV,Cote d'Ivoire,Lower middle income,Sub-Saharan Africa ,20,20,150056,18350000000
MDG,Madagascar,Low income,Sub-Saharan Africa ,20,20,441354,3213000000
ITA,Italy,High income,Europe & Central Asia,20,20,1031126,676724000000
MYS,Malaysia,Upper middle income,East Asia & Pacific,20,16,323964,312965000000
BOL,Bolivia,Lower middle income,Latin America & Caribbean ,20,20,227380,10911000000
RWA,Rwanda,Low income,Sub-Saharan Africa ,20,17,81493,2466000000
FRA,France,High income,Europe & Central Asia,20,20,2076684,651122000000
IDN,Indonesia,Upper middle income,East Asia & Pacific,20,18,254034,258857000000
ZMB,Zambia,Lower middle income,Sub-Saharan Africa ,20,17,843253,10431000000
NER,Niger,Low income,Sub-Saharan Africa ,20,20,31669,992000000
KOR,"Korea, Rep.",High income,East Asia & Pacific,20,19,337301,632226000000
TUR,Turkiye,Upper middle income,Europe & Central Asia,20,18,6812879,255627000000
NIC,Nicaragua,Lower middle income,Latin America & Caribbean ,20,20,85336,7378000000
BDI,Burundi,Low income,Sub-Saharan Africa ,20,18,89697,210000000
BEL,Belgium,High income,Europe & Central Asia,20,20,460312,578515000000
ZAF,South Africa,Upper middle income,Sub-Saharan Africa ,20,20,1864490,110855000000
TZA,Tanzania,Lower middle income,Sub-Saharan Africa ,20,17,99982,7275000000
CAF,Central African Republic,Low income,Sub-Saharan Africa ,20,15,7797,171000000
HKG,"Hong Kong SAR, China",High income,East Asia & Pacific,20,20,424070,573871000000
PHL,Philippines,Upper middle income,East Asia & Pacific,20,19,134685,73527000000
NAM,Namibia,Lower middle income,Sub-Saharan Africa ,20,19,210790,5526000000
ARE,United Arab Emirates,High income,"Middle East, North Africa, Afghanistan & Pakistan",20,17,434473,570245000000
ARG,Argentina,Upper middle income,Latin America & Caribbean ,20,20,271792,66988000000
SEN,Senegal,Lower middle income,Sub-Saharan Africa ,20,20,78261,5317000000
CAN,Canada,High income,North America,20,20,2236999,570079000000
PER,Peru,Upper middle income,Latin America & Caribbean ,20,18,697093,64715000000
BEN,Benin,Lower middle income,Sub-Saharan Africa ,20,20,82928,4050000000
GBR,United Kingdom,High income,Europe & Central Asia,20,20,1787754,525016000000
COL,Colombia,Upper middle income,Latin America & Caribbean ,20,20,535647,49545000000
KGZ,Kyrgyz Republic,Lower middle income,Europe & Central Asia,20,18,69731,3385000000
SGP,Singapore,High income,East Asia & Pacific,20,20,310177,476252000000
BLR,Belarus,Upper middle income,Europe & Central Asia,20,15,203500,39840000000
SWZ,Eswatini,Lower middle income,Sub-Saharan Africa ,20,19,63914,2096000000
RUS,Russian Federation,High income,Europe & Central Asia,20,17,351403,424749000000
UKR,Ukraine,Upper middle income,Europe & Central Asia,20,17,434517,37585000000
LSO,Lesotho,Lower middle income,Sub-Saharan Africa ,20,18,247760,825000000
ESP,Spain,High income,Europe & Central Asia,20,20,16481653,422487000000
ECU,Ecuador,Upper middle income,Latin America & Caribbean ,20,19,519801,31126000000
CHE,Switzerland,High income,Europe & Central Asia,20,20,3812326,419982000000
