iso3,trains_reporter,years_collected,n_years,years_in_window,n_years_in_window
IDN,IDN,2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024,17,2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021,14
DEU,EUN,2010;2011;2012;2013;2014;2015;2016;2018;2019;2020;2021;2022;2023;2024;2025,15,2010;2011;2012;2013;2014;2015;2016;2018;2019;2020;2021,11
NLD,EUN,2010;2011;2012;2013;2014;2015;2016;2018;2019;2020;2021;2022;2023;2024;2025,15,2010;2011;2012;2013;2014;2015;2016;2018;2019;2020;2021,11
ITA,EUN,2010;2011;2012;2013;2014;2015;2016;2018;2019;2020;2021;2022;2023;2024;2025,15,2010;2011;2012;2013;2014;2015;2016;2018;2019;2020;2021,11
FRA,EUN,2010;2011;2012;2013;2014;2015;2016;2018;2019;2020;2021;2022;2023;2024;2025,15,2010;2011;2012;2013;2014;2015;2016;2018;2019;2020;2021,11
BEL,EUN,2010;2011;2012;2013;2014;2015;2016;2018;2019;2020;2021;2022;2023;2024;2025,15,2010;2011;2012;2013;2014;2015;2016;2018;2019;2020;2021,11
ESP,EUN,2010;2011;2012;2013;2014;2015;2016;2018;2019;2020;2021;2022;2023;2024;2025,15,2010;2011;2012;2013;2014;2015;2016;2018;2019;2020;2021,11
MEX,MEX,2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024,13,2012;2013;2014;2015;2016;2017;2018;2019;2020;2021,10
BRA,BRA,2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024,13,2012;2013;2014;2015;2016;2017;2018;2019;2020;2021,10
BOL,BOL,2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024,13,2012;2013;2014;2015;2016;2017;2018;2019;2020;2021,10
NIC,NIC,2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024,13,2012;2013;2014;2015;2016;2017;2018;2019;2020;2021,10
ARG,ARG,2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024,13,2012;2013;2014;2015;2016;2017;2018;2019;2020;2021,10
PER,PER,2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024,13,2012;2013;2014;2015;2016;2017;2018;2019;2020;2021,10
COL,COL,2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024,13,2012;2013;2014;2015;2016;2017;2018;2019;2020;2021,10
ECU,ECU,2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024,13,2012;2013;2014;2015;2016;2017;2018;2019;2020;2021,10
GBR,GBR,2010;2011;2012;2013;2014;2015;2016;2018,8,2010;2011;2012;2013;2014;2015;2016;2018,8
USA,USA,2014;2017;2018;2019,4,2014;2017;2018;2019,4
CAN,CAN,2015;2017;2021;2022,4,2015;2017;2021,3
VNM,VNM,2015;2018;2022;2024,4,2015;2018,2
MAR,MAR,2016;2020,2,2016;2020,2
JPN,JPN,2015;2016;2022;2024,4,2015;2016,2
MYS,MYS,2015;2018;2024,3,2015;2018,2
TUR,TUR,2016;2020,2,2016;2020,2
PHL,PHL,2015;2018;2024,3,2015;2018,2
ARE,ARE,2015;2020,2,2015;2020,2
SGP,SGP,2015;2018;2024,3,2015;2018,2
RUS,RUS,2016;2020,2,2016;2020,2
CHE,CHE,2015;2019,2,2015;2019,2
CHN,CHN,2016;2024,2,2016,1
IND,IND,2017,1,2017,1
MOZ,MOZ,2021;2024,2,2021,1
EGY,EGY,2016,1,2016,1
BFA,BFA,2012,1,2012,1
CIV,CIV,2019,1,2019,1
NER,NER,2021,1,2021,1
KOR,KOR,2016,1,2016,1
BDI,BDI,2021,1,2021,1
ZAF,ZAF,2017;2023,2,2017,1
HKG,HKG,2016,1,2016,1
SEN,SEN,2021,1,2021,1
BEN,BEN,2014,1,2014,1
KGZ,KGZ,2017,1,2017,1
BLR,BLR,2017,1,2017,1
UGA,UGA,2022,1,,0
RWA,RWA,2022,1,,0
ZMB,ZMB,2022,1,,0
TZA,TZA,2022,1,,0
NAM,NAM,2022,1,,0
SWZ,SWZ,2022,1,,0
LSO,LSO,2022,1,,0
