ntmCode,ntmDescription
A,Sanitary and phytosanitary measures
B,Technical barriers to trade
C,Pre-shipment inspection and other formalities
D,Contingent trade protective measures
E,"Non-automatic import licensing, quotas, prohibitions, quantity-control measures and other restrictions other than SPS or TBT measures"
F,Price control measures including additional taxes and charges
G,Finance measures
H,Measures affecting competition
I,Trade-related investment measures
J,Distribution restrictions
K,Restriction on post-sales services
L,Subsidies (excluding export subsidies under P7)
M,Government procurement restrictions
N,Intellectual property
O,Rules of origin
P,Export related measures
