iso3,code,year
DJI,262,2002
KWT,414,2002
QAT,634,2002
ALB,008,2002
AGO,024,2002
ATG,028,2002
AZE,031,2002
BHS,044,2002
BGD,050,2002
BRB,052,2002
BTN,064,2002
BLZ,084,2002
BRN,096,2002
MMR,104,2002
BDI,108,2002
BLR,112,2002
KHM,116,2002
CMR,120,2002
CAF,140,2002
TCD,148,2002
TWN,158,2002
COG,178,2002
CUB,192,2002
BEN,204,2002
DMA,212,2002
DOM,214,2002
GNQ,226,2002
ETH,231,2002
ERI,232,2002
EST,233,2002
GAB,266,2002
GEO,268,2002
GHA,288,2002
GRD,308,2002
GUY,328,2002
HTI,332,2002
CIV,384,2002
JAM,388,2002
JOR,400,2002
KEN,404,2002
KGZ,417,2002
LBY,434,2002
MYS,458,2002
MDV,462,2002
MLI,466,2002
MEX,484,2002
MNG,496,2002
OMN,512,2002
VUT,548,2002
NIC,558,2002
NER,562,2002
NGA,566,2002
PAN,591,2002
PHL,608,2002
GNB,624,2002
RWA,646,2002
KNA,659,2002
LCA,662,2002
VCT,670,2002
SEN,686,2002
VNM,704,2002
SYR,760,2002
TJK,762,2002
TGO,768,2002
TTO,780,2002
TUN,788,2002
TKM,795,2002
UKR,804,2002
EGY,818,2002
BFA,854,2002
VEN,862,2002
SER,891,2002
ZMB,894,2002
DZA,012,2002
ARG,032,2002
AUS,036,2002
BHR,048,2002
BOL,068,2002
BWA,072,2002
BRA,076,2002
BGR,100,2002
CAN,124,2002
CHL,152,2002
CHN,156,2002
COL,170,2002
CRI,188,2002
HRV,191,2002
CYP,196,2002
CZE,203,2002
ECU,218,2002
SLV,222,2002
GTM,320,2002
HND,340,2002
HKG,344,2002
HUN,348,2002
IND,356,2002
IDN,360,2002
ISR,376,2002
JPN,392,2002
KOR,410,2002
LBN,422,2002
LTU,440,2002
MAC,446,2002
MDG,450,2002
MLT,470,2002
MUS,480,2002
MAR,504,2002
MOZ,508,2002
NAM,516,2002
NPL,524,2002
NZL,554,2002
NOR,578,2002
PAK,586,2002
PNG,598,2002
PRY,600,2002
PER,604,2002
POL,616,2002
RUS,643,2002
SAU,682,2002
SGP,702,2002
SVK,703,2002
SVN,705,2002
ZAF,710,2002
ZWE,716,2002
SDN,736,2002
SWZ,748,2002
CHE,756,2002
TUR,792,2002
UGA,800,2002
MKD,807,2002
USA,840,2002
URY,858,2002
EUN,918,2002
GMB,270,2003
ATG,028,2003
ARM,051,2003
BRB,052,2003
BLZ,084,2003
BRN,096,2003
MMR,104,2003
BDI,108,2003
KHM,116,2003
TWN,158,2003
DMA,212,2003
DOM,214,2003
EST,233,2003
GEO,268,2003
GHA,288,2003
GRD,308,2003
GUY,328,2003
JAM,388,2003
MYS,458,2003
MNG,496,2003
MDA,498,2003
NGA,566,2003
PAN,591,2003
PHL,608,2003
RWA,646,2003
KNA,659,2003
LCA,662,2003
VCT,670,2003
TTO,780,2003
EGY,818,2003
TZA,834,2003
VEN,862,2003
ZMB,894,2003
ALB,008,2003
DZA,012,2003
ARG,032,2003
AUS,036,2003
BHR,048,2003
BGD,050,2003
BOL,068,2003
BRA,076,2003
BGR,100,2003
CMR,120,2003
CAN,124,2003
CAF,140,2003
LKA,144,2003
TCD,148,2003
CHL,152,2003
CHN,156,2003
COL,170,2003
COG,178,2003
ZAR,180,2003
CRI,188,2003
HRV,191,2003
CUB,192,2003
CZE,203,2003
BEN,204,2003
ECU,218,2003
SLV,222,2003
FJI,242,2003
GAB,266,2003
GTM,320,2003
HND,340,2003
HKG,344,2003
ISL,352,2003
IND,356,2003
IDN,360,2003
IRN,364,2003
ISR,376,2003
CIV,384,2003
JPN,392,2003
JOR,400,2003
KOR,410,2003
KWT,414,2003
KGZ,417,2003
LTU,440,2003
MAC,446,2003
MDG,450,2003
MWI,454,2003
MDV,462,2003
MLI,466,2003
MLT,470,2003
MEX,484,2003
MAR,504,2003
MOZ,508,2003
OMN,512,2003
NPL,524,2003
VUT,548,2003
NZL,554,2003
NIC,558,2003
NER,562,2003
NOR,578,2003
PAK,586,2003
PNG,598,2003
PRY,600,2003
PER,604,2003
POL,616,2003
GNB,624,2003
QAT,634,2003
