iso3,year,imports_from_vn_usd,vn_reported_exports_usd
ABW,2002,0,442784.0
ABW,2003,0,53499.0
ABW,2005,0,88012.0
ABW,2006,25394.0,0
ABW,2008,210228.0,0
AFG,2005,0,1250624.0
AFG,2008,10183910.0,0
AFG,2009,1644916.0,0
AFG,2010,8535996.0,0
AFG,2011,18302667.0,0
AFG,2013,0,83279063.0
AFG,2015,53373520.0,0
AFG,2016,57734429.0,0
AFG,2017,61092972.44,0
AFG,2018,64908881.44,0
AFG,2019,74361805.08,0
AGO,2002,0,20568014.0
AGO,2003,0,27960998.0
AGO,2004,24689787.59,34845117.0
AGO,2005,58127532.28,76189285.0
AGO,2006,71475447.46,60281657.0
AGO,2007,61577590.02,49357684.0
AGO,2008,145860466.52,143823577.0
AGO,2009,113797075.8,89197874.0
AGO,2010,117208807.21,111159330.0
AGO,2011,78594662.0,68060284.0
AGO,2012,158178796.0,115785295.0
AGO,2013,147432624.46,124573207.0
AGO,2014,71058015.35,81431595.0
AGO,2015,43701588.16,46278410.0
AGO,2016,40626543.78,38735684.0
AGO,2017,44587958.9,37603973.6
AGO,2018,25758327.52,39987291.14
AGO,2019,24561141.34,42685244.09
AGO,2020,14803401.95,19254628.77
AGO,2021,9011286.72,16651643.05
ALB,2002,16411.0,802111.0
ALB,2003,0,413830.0
ALB,2004,109557.0,559067.0
ALB,2005,1156735.0,2815934.0
ALB,2006,1175612.0,3727863.0
ALB,2007,1615899.0,3902666.0
ALB,2008,3208996.0,5812792.0
ALB,2009,4078597.0,5542198.0
ALB,2010,3365258.0,3261264.0
ALB,2011,6944839.0,0
ALB,2012,5810530.0,0
ALB,2013,8405832.0,0
ALB,2014,9877097.0,0
ALB,2015,14189951.0,0
ALB,2016,14833752.0,0
ALB,2017,19640712.04,0
ALB,2018,21815852.32,0
ALB,2019,18815301.72,0
ALB,2020,21046462.2,0
ALB,2021,24675107.75,0
AND,2002,983092.0,334814.0
AND,2003,1017943.0,0
AND,2004,2389276.0,0
AND,2005,0,6317.0
AND,2006,1593050.87,9344.0
AND,2007,2902446.31,0
AND,2008,3582991.88,0
AND,2009,4667800.24,0
AND,2010,5149780.53,0
AND,2011,6031545.95,0
AND,2012,4641018.22,0
AND,2013,5812766.49,0
AND,2014,7391189.94,352.0
AND,2015,7109976.58,36835418.0
AND,2016,7220227.56,17511468.84
AND,2017,7855020.48,22074283.3
AND,2018,8775774.47,0
AND,2019,8325940.21,0
AND,2020,4678440.29,0
AND,2021,6475798.46,0
ARE,2002,33659297.0,41209483.0
ARE,2003,40970482.0,65992751.0
ARE,2004,63929162.0,93581116.0
ARE,2005,85191527.0,121545430.0
ARE,2006,116764112.0,140572309.0
ARE,2007,171859139.0,234048313.0
ARE,2008,261187355.0,357572897.0
ARE,2009,359382787.0,360079684.0
ARE,2010,338583631.0,508284689.0
ARE,2011,448941762.0,921974816.0
ARE,2012,3622025432.0,2078323115.0
ARE,2013,1163129835.47,4138413190.0
ARE,2014,1832262537.69,4626998924.0
ARE,2015,2378507287.01,5690916060.0
ARE,2016,2642225399.94,4999552550.55
ARE,2017,9712195280.05,5026907572.5
ARE,2018,7666152225.86,5225283374.16
ARE,2019,7194113878.35,4785303281.67
ARE,2020,5852131337.92,3916799528.97
ARE,2021,7601250375.91,4692459910.86
ARG,2002,2546448.0,1391426.0
ARG,2003,6085410.0,5695628.0
ARG,2004,11608462.0,8735297.0
ARG,2005,16009115.0,16578320.0
ARG,2006,44679513.0,30810692.0
ARG,2007,51731440.0,49788829.0
ARG,2008,96472832.0,73727379.0
ARG,2009,76114606.0,55935248.0
ARG,2010,111269274.0,91554407.0
ARG,2011,190115784.0,148853870.0
ARG,2012,155511472.0,166826584.0
ARG,2013,199734171.0,191731598.0
ARG,2014,196982617.84,174000021.0
ARG,2015,333879123.26,377620855.0
